"SWOT","Negotiation.phase","msg.number","Message"
"T","BBNJ WG",80,"effective"
"T","BBNJ WG",80,"governance"
"O","IGC",81,"complement"
"O","IGC",81,"conservation"
"O","IGC",81,"aspects"
"O","IGC",81,"rmfos"
"T","IGC",82,"economic"
"T","IGC",82,"prevailing"
"T","IGC",82,"exploitation"
"T","IGC",82,"mesopelagic"
"T","IGC",82,"fish"
"T","IGC",83,"shipping"
"T","IGC",83,"mining"
"T","IGC",83,"governed"
"T","IGC",83,"global"
"T","IGC",83,"level"
"T","IGC",83,"obligations"
"T","IGC",83,"mechanisms"
"T","IGC",83,"cooperating"
"T","IGC",83,"sectoral"
"T","IGC",83,"governance"
"T","IGC",83,"bodies"
"O","IGC",84,"improve"
"O","IGC",84,"development"
"O","IGC",84,"abmt"
"O","IGC",84,"proposals"
"O","IGC",84,"implementation"
"O","IGC",84,"monitoring"
"W","IGC",85,"lack"
"W","IGC",85,"harmonization"
"W","IGC",85,"sectoral"
"W","IGC",85,"management"
"W","IGC",85,"bodies"
"W","IGC",85,"results"
"W","IGC",85,"response"
"W","IGC",85,"sectoral"
"W","IGC",85,"cross"
"W","IGC",85,"sectoral"
"W","IGC",85,"impacts"
"T","IGC",86,"duplication"
"T","IGC",86,"mandates"
"T","IGC",86,"existing"
"T","IGC",86,"bodies"
"W","IGC",87,"negotiations"
"W","IGC",87,"treated"
"W","IGC",87,"elements"
"W","IGC",87,"marine"
"W","IGC",87,"genetic"
"W","IGC",87,"resources"
"W","IGC",87,"based"
"W","IGC",87,"management"
"W","IGC",87,"tools"
"W","IGC",87,"capacity"
"W","IGC",87,"building"
"W","IGC",87,"technology"
"W","IGC",87,"transfer"
"W","IGC",87,"environmental"
"W","IGC",87,"impact"
"W","IGC",87,"assessments"
"W","IGC",87,"distinct"
"W","IGC",87,"unrelated"
"W","IGC",87,"issues"
"T","IGC",88,"lack"
"T","IGC",88,"draft"
"T","IGC",88,"provisions"
"S","IGC",89,"coastal"
"S","IGC",89,"relevant"
"S","IGC",89,"future"
"S","IGC",89,"provisions"
"W","IGC",90,"current"
"W","IGC",90,"revised"
"W","IGC",90,"draft"
"W","IGC",90,"text"
"W","IGC",90,"provide"
"W","IGC",90,"guidance"
"W","IGC",90,"holders"
"W","IGC",90,"relevant"
"W","IGC",90,"traditional"
"W","IGC",90,"knowledge"
"W","IGC",90,"identified"
"W","IGC",90,"designated"
"W","IGC",90,"ensure"
"W","IGC",90,"holders"
"W","IGC",90,"legitimate"
"W","IGC",91,"term"
"W","IGC",91,"undermine"
"W","IGC",91,"ambiguous"
"O","IGC",92,"cbtt"
"O","IGC",92,"goal"
"O","IGC",92,"holistic"
"O","IGC",92,"ecosystem"
"O","IGC",92,"based"
"O","IGC",92,"ocean"
"O","IGC",92,"management"
"O","IGC",92,"connecting"
"O","IGC",92,"actions"
"O","IGC",92,"coastal"
"O","IGC",92,"offshore"
"O","IGC",92,"abnj"
"O","IGC",93,"proximity"
"O","IGC",93,"potential"
"O","IGC",93,"abnj"
"O","IGC",93,"mpas"
"O","IGC",93,"eezs"
"O","IGC",93,"advantageous"
"O","IGC",93,"mpa"
"O","IGC",93,"enforcement"
"O","IGC",94,"strong"
"O","IGC",94,"protection"
"O","IGC",94,"measures"
"O","IGC",94,"types"
"O","IGC",94,"based"
"O","IGC",94,"conservation"
"O","IGC",94,"tools"
"O","IGC",94,"larger"
"O","IGC",94,"seascape"
"O","IGC",94,"planning"
"O","IGC",94,"initiatives"
"O","IGC",94,"promote"
"O","IGC",94,"diversity"
"O","IGC",94,"redundancy"
"O","IGC",94,"mpas"
"S","IGC",95,"international"
"S","IGC",95,"organizations"
"S","IGC",95,"ngos"
"S","IGC",95,"forefront"
"S","IGC",95,"defining"
"S","IGC",95,"issues"
"S","IGC",95,"proposing"
"S","IGC",95,"solutions"
"O","IGC",96,"significant"
"O","IGC",96,"potential"
"O","IGC",96,"increase"
"O","IGC",96,"operation"
"O","IGC",96,"existing"
"O","IGC",96,"marine"
"O","IGC",96,"governance"
"O","IGC",96,"organizations"
"O","IGC",97,"science"
"O","IGC",97,"based"
"O","IGC",97,"management"
"O","IGC",97,"operationalised"
"O","IGC",97,"enhancing"
"O","IGC",97,"existing"
"O","IGC",97,"system"
"O","IGC",97,"effective"
"O","IGC",97,"science"
"O","IGC",97,"policy"
"O","IGC",97,"interface"
"O","IGC",97,"dissemination"
"O","IGC",97,"knowledge"
"O","IGC",98,"indigenous"
"O","IGC",98,"caring"
"O","IGC",98,"environment"
"O","IGC",98,"based"
"O","IGC",98,"specific"
"O","IGC",98,"wordlviews"
"O","IGC",98,"practices"
"O","IGC",98,"information"
"O","IGC",98,"foster"
"O","IGC",98,"insights"
"O","IGC",98,"governance"
"W","IGC",99,"term"
"W","IGC",99,"undermine"
"W","IGC",99,"interpreted"
"W","IGC",99,"excluding"
"W","IGC",99,"fishing"
"W","IGC",99,"fishing"
"W","IGC",99,"related"
"W","IGC",99,"issues"
"W","IGC",99,"handled"
"W","IGC",99,"rmfos"
"S","IGC",100,"unclos"
"S","IGC",100,"concept"
"S","IGC",100,"due"
"S","IGC",100,"regard"
"S","IGC",100,"benchmark"
"S","IGC",100,"addressing"
"S","IGC",100,"relationship"
"S","IGC",100,"coastal"
"S","IGC",100,"carrying"
"S","IGC",100,"activities"
"S","IGC",100,"abnj"
"S","IGC",101,"includes"
